id,title,description,availability,condition,price,link,image_link,brand
BD3Pouch200gr-MatchaHojiChoco,Paket Bubuk Matcha / Chocolate / Hojicha - Paket 3 Bungkus,"Paket Bubuk Matcha / Chocolate / Hojicha varian Paket 3 Bungkus dari Homelab cocok untuk membuat matcha latte, usucha, baking, dan racikan matcha premium. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Normal 3 bungkus x 85.000 = 285.000 Bubuk Matcha Premium Terbuat dari Matcha pilihan yang diimpor langsung dari Jepang. Kaya akan antioxidant dan terbuat dari bahan natural. Bubuk Matcha sudah dicampur dengan cane sugar asli. Gampang disajikan, 20gram (1 1/2sendok) di campur dengan susu UHT/Segar/soy milk secukupn Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,350000 IDR,https://www.homelab.co.id/shop/bd3pouch200gr-matchahojichoco,https://cf.shopee.co.id/file/b6b76928d9d332b514145d7764efffb4,Homelab
MC-Okumidori-1,Okumidori 1.0 Uji Kyoto Ceremonial Matcha H...,"Okumidori 1.0 Uji Kyoto Ceremonial Matcha H... dari Homelab cocok untuk membuat matcha latte, usucha, baking, dan racikan matcha premium. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab – Okumidori 1.0 Uji Kyoto Ceremonial Matcha High Grade Round • Nutty-Sweet • Creamy Ceremonial matcha high grade dari Uji, Kyoto – Jepang, menggunakan cultivar Okumidori pilihan dengan panen pertama (Ichibancha). Memiliki karakter rasa lembut, creamy, manis alami dengan umami seimbang dan astringency rendah Checkout mudah melalui marketplace resmi Homelab.",in stock,new,300000 IDR,https://www.homelab.co.id/shop/mc-okumidori-1,https://cf.shopee.co.id/file/id-11134207-822wk-mlbuv8tluwap62,Homelab
PouchS1KG-Matcha,Sweet Matcha Powder 1kg,"Sweet Matcha Powder 1kg dari Homelab cocok untuk membuat matcha latte, usucha, baking, dan racikan matcha premium. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Versi Ekonomis 1 KG Cocok untuk usaha Cafe / Resto / Pemakaian pribadi Bubuk Matcha Premium (Manis) Terbuat dari Matcha pilihan yang diimpor langsung dari Jepang. Kaya akan antioxidant dan terbuat dari bahan natural. Bubuk Matcha sudah dicampur dengan cane sugar asli. Gampang disajikan, 20 gram (1 1/2 sendok) di Checkout mudah melalui marketplace resmi Homelab.",in stock,new,385990 IDR,https://www.homelab.co.id/shop/pouchs1kg-matcha,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/485e7cb8b95e46c098ad71f7f288ec0f~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&from=520841845&height=1080&idc=my&ps=933b5bde&shcp=2c1af732&shp=1f0b6a75&t=555f072d&width=1080,Homelab
BD2Toples100gr-PureMatchaPureHojicha,Pure Uji Matcha & Pure Hojicha 100g - Paket...,"Pure Uji Matcha & Pure Hojicha 100g - Paket... dari Homelab cocok untuk membuat matcha latte, usucha, baking, dan racikan matcha premium. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Pure Uji Matcha & Pure Hojicha - Paket Bundle (No sugar / tidak manis) Cocok buat diminum langsung seduh dengan air panas & buat menu makanan / buat kue. Pure Uji Matcha Nett Weight: 95+ gram Pure Hojicha Nett Weight 95+gram Manfaat Matcha Asli: - Memiliki Antioksidan 137x lebih tinggi dari teh hijau lainnya. - Checkout mudah melalui marketplace resmi Homelab.",in stock,new,435990 IDR,https://www.homelab.co.id/shop/bd2toples100gr-purematchapurehojicha,https://cf.shopee.co.id/file/70abf1271dd579d8f4c140bccd53498f,Homelab
Washo100gr-CRMatcha,Washo 100% Organic Pure Ceremonial Grade Ma... - 100g,"Washo 100% Organic Pure Ceremonial Grade Ma... varian 100g dari Homelab cocok untuk membuat matcha latte, usucha, baking, dan racikan matcha premium. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab Washo 100% Organic Pure Ceremonial Grade Matcha Powder - Bubuk Minuman Matcha Nikmati kelezatan dan manfaat luar biasa dari matcha asli dengan Homelab Washo. Bubuk minuman matcha ini 100% organik, ceremonial grade, dan dibuat dari daun teh Yabukita yang dipanen pada musim semi dan awal musim panas. Spesifikas Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,510000 IDR,https://www.homelab.co.id/shop/washo100gr-crmatcha,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/849fbef23a0949d787d7ebf05257530b~tplv-aphluv4xwc-origin-jpeg.jpeg?dr=15568&from=520841845&height=850&idc=my&ps=933b5bde&shcp=2c1af732&shp=1f0b6a75&t=555f072d&width=680,Homelab
Washo500gr-CRMatcha,Washo 100% Organic Pure Ceremonial Grade Ma... - 500g,"Washo 100% Organic Pure Ceremonial Grade Ma... varian 500g dari Homelab cocok untuk membuat matcha latte, usucha, baking, dan racikan matcha premium. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab Washo 100% Organic Pure Ceremonial Grade Matcha Powder - Bubuk Minuman Matcha Nikmati kelezatan dan manfaat luar biasa dari matcha asli dengan Homelab Washo. Bubuk minuman matcha ini 100% organik, ceremonial grade, dan dibuat dari daun teh Yabukita yang dipanen pada musim semi dan awal musim panas. Spesifikas Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,2850000 IDR,https://www.homelab.co.id/shop/washo500gr-crmatcha,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/849fbef23a0949d787d7ebf05257530b~tplv-aphluv4xwc-origin-jpeg.jpeg?dr=15568&from=520841845&height=850&idc=my&ps=933b5bde&shcp=2c1af732&shp=1f0b6a75&t=555f072d&width=680,Homelab
Washo1Kg-CRMatcha,Washo 100% Organic Pure Ceremonial Grade Ma... - 1kg,"Washo 100% Organic Pure Ceremonial Grade Ma... varian 1kg dari Homelab cocok untuk membuat matcha latte, usucha, baking, dan racikan matcha premium. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab Washo 100% Organic Pure Ceremonial Grade Matcha Powder - Bubuk Minuman Matcha Nikmati kelezatan dan manfaat luar biasa dari matcha asli dengan Homelab Washo. Bubuk minuman matcha ini 100% organik, ceremonial grade, dan dibuat dari daun teh Yabukita yang dipanen pada musim semi dan awal musim panas. Spesifikas Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,5550000 IDR,https://www.homelab.co.id/shop/washo1kg-crmatcha,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/849fbef23a0949d787d7ebf05257530b~tplv-aphluv4xwc-origin-jpeg.jpeg?dr=15568&from=520841845&height=850&idc=my&ps=933b5bde&shcp=2c1af732&shp=1f0b6a75&t=555f072d&width=680,Homelab
MC-Samidori-2,Samidori 2.0 Uji Kyoto Ceremonial Matcha Ul.....,"Samidori 2.0 Uji Kyoto Ceremonial Matcha Ul..... dari Homelab cocok untuk membuat matcha latte, usucha, baking, dan racikan matcha premium. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab – Samidori 2.0 Uji Kyoto Ceremonial Matcha Ultra Premium (20g) Balance • Clean • Refined Samidori 2.0 adalah ceremonial matcha ultra premium dari Uji, Kyoto – Jepang. Menggunakan single cultivar Samidori pilihan dengan panen pertama (Ichibancha), menghasilkan karakter rasa yang sangat bersih, balance, dan e Checkout mudah melalui marketplace resmi Homelab.",in stock,new,481000 IDR,https://www.homelab.co.id/shop/mc-samidori-2,https://cf.shopee.co.id/file/id-11134207-822wp-mlbuv8tlxpfl1a,Homelab
MC-Samidori-1,Samidori Matcha 20g,"Samidori Matcha 20g dari Homelab cocok untuk membuat matcha latte, usucha, baking, dan racikan matcha premium. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab – Samidori 1.0 Uji Kyoto Premium Ceremonial Matcha (20g) Ultra Smooth • Deep Umami • Elegant Samidori 1.0 adalah premium ceremonial matcha dari Uji, Kyoto – Jepang dengan karakter ultra smooth, deep umami, dan elegan. Menggunakan single cultivar Samidori dengan 1st harvest (Ichibancha) untuk menghasilkan ra Checkout mudah melalui marketplace resmi Homelab.",in stock,new,638000 IDR,https://www.homelab.co.id/shop/mc-samidori-1,https://cf.shopee.co.id/file/id-11134207-822wg-mlbv7lvm603me2,Homelab
Pouch1KG-PureMatcha,Pure Uji Matcha 1kg,"Pure Uji Matcha 1kg dari Homelab cocok untuk membuat matcha latte, usucha, baking, dan racikan matcha premium. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Dipacking dengan standing pouch. 100% Pure Matcha from Uji Japan. Netto: 1kg Tanpa campuran, Asli pure matcha! Tidak manis & Tanpa gula! Penyajian untuk minuman hanya perlu 5gram perserving, Untuk pembuatan kue tergantung resep. Aroma sangat kuat dan sangat harum! Cocok buat diminum langsung seduh dengan air pan Checkout mudah melalui marketplace resmi Homelab.",in stock,new,1299800 IDR,https://www.homelab.co.id/shop/pouch1kg-purematcha,https://cf.shopee.co.id/file/a8d078767428d183af24d25082e932e4,Homelab
shopee-48152593513,100% Pure Matcha 1KG,"100% Pure Matcha 1KG dari Homelab cocok untuk membuat matcha latte, usucha, baking, dan racikan matcha premium. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-48152593513,https://cf.shopee.co.id/file/id-11134207-8224x-mhu5u9f4i1hi56,Homelab
shopee-6158018179,"100% Pure Uji Matcha, 100% Pure Hojicha & 1.....","100% Pure Uji Matcha, 100% Pure Hojicha & 1..... dari Homelab cocok untuk membuat matcha latte, usucha, baking, dan racikan matcha premium. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-6158018179,https://cf.shopee.co.id/file/c3116bac75966f9d07b613712fd7e0d1,Homelab
shopee-5458016962,"100% Pure Uji Matcha, 100% Pure Hojicha & 1.....","100% Pure Uji Matcha, 100% Pure Hojicha & 1..... dari Homelab cocok untuk membuat matcha latte, usucha, baking, dan racikan matcha premium. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,646800 IDR,https://www.homelab.co.id/shop/shopee-5458016962,https://cf.shopee.co.id/file/9a56da112400f0e2ed555a50697b864e,Homelab
shopee-4641539590,Paket Gift Box Bubuk Matcha / Hojicha / Cho...,"Paket Gift Box Bubuk Matcha / Hojicha / Cho... dari Homelab cocok untuk membuat matcha latte, usucha, baking, dan racikan matcha premium. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-4641539590,https://cf.shopee.co.id/file/4435aefc8d093b658781689cbcd619f7,Homelab
shopee-3649295448,Promo Beli Matcha Powder 2 Bungkus - Gratis...,"Promo Beli Matcha Powder 2 Bungkus - Gratis... dari Homelab cocok untuk membuat matcha latte, usucha, baking, dan racikan matcha premium. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-3649295448,https://cf.shopee.co.id/file/e2424381abd61d0c42e84525f1cba79e,Homelab
shopee-5135960572,Pure Uji Matcha,"Pure Uji Matcha dari Homelab cocok untuk membuat matcha latte, usucha, baking, dan racikan matcha premium. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,145990 IDR,https://www.homelab.co.id/shop/shopee-5135960572,https://cf.shopee.co.id/file/ce190f50fcfb4d673547b540527a373f,Homelab
shopee-3951377923,Pure Uji Matcha & 100% Dark Chocolate Powde...,"Pure Uji Matcha & 100% Dark Chocolate Powde... dari Homelab cocok untuk membuat matcha latte, usucha, baking, dan racikan matcha premium. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-3951377923,https://cf.shopee.co.id/file/3a0794c88f9c09295f0281d71ca38079,Homelab
shopee-23649909534,Washo 100% Organic Pure Ceremonial Grade Ma.....,"Washo 100% Organic Pure Ceremonial Grade Ma..... dari Homelab cocok untuk membuat matcha latte, usucha, baking, dan racikan matcha premium. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-23649909534,https://cf.shopee.co.id/file/id-11134207-7qul4-ljuu1ptgyhxf3e,Homelab
shopee-42124341181,"Yukata 100% 1kg, Pure Ceremonial Grade Matc...","Yukata 100% 1kg, Pure Ceremonial Grade Matc... dari Homelab cocok untuk membuat matcha latte, usucha, baking, dan racikan matcha premium. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-42124341181,https://cf.shopee.co.id/file/id-11134207-82252-mfv4qdlaxmvhf9,Homelab
Toples-50gr-DarkChoco,98% Dark Chocolate Powder / Bubuk Coklat As..... - Toples 50 GR,"98% Dark Chocolate Powder / Bubuk Coklat As..... varian Toples 50 GR dari Homelab cocok untuk membuat minuman cafe-style dengan rasa konsisten dan mudah disajikan. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. 100% Dark Chocolate Powder / Bubuk Coklat Asli Premium (No sugar / tidak manis) Nett Weight : 50g Made in Holland Manfaat 100% Dark Chocolate: - Tinggi akan antioksidan yg berfungsi menangkal radikal bebas penyebab penuaan dini. - Menurunkan tekanan darah dan mencegah penyakit jantung. - Mencegah diabetes Checkout mudah melalui marketplace resmi Homelab.",in stock,new,38990 IDR,https://www.homelab.co.id/shop/toples-50gr-darkchoco,https://cf.shopee.co.id/file/id-11134207-8224r-ml4q1d53b2ffe9,Homelab
Pouch50gr-DarkChoco,98% Dark Chocolate Powder / Bubuk Coklat As..... - Pouch 50 GR,"98% Dark Chocolate Powder / Bubuk Coklat As..... varian Pouch 50 GR dari Homelab cocok untuk membuat minuman cafe-style dengan rasa konsisten dan mudah disajikan. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. 100% Dark Chocolate Powder / Bubuk Coklat Asli Premium (No sugar / tidak manis) Nett Weight : 50g Made in Holland Manfaat 100% Dark Chocolate: - Tinggi akan antioksidan yg berfungsi menangkal radikal bebas penyebab penuaan dini. - Menurunkan tekanan darah dan mencegah penyakit jantung. - Mencegah diabetes Checkout mudah melalui marketplace resmi Homelab.",in stock,new,33990 IDR,https://www.homelab.co.id/shop/pouch50gr-darkchoco,https://cf.shopee.co.id/file/id-11134207-8224r-ml4q1d53b2ffe9,Homelab
Pouch50gr-Chocolate,Bubuk Coklat / Powder Chocolate - 50G,"Bubuk Coklat / Powder Chocolate - 50G dari Homelab cocok untuk membuat minuman cafe-style dengan rasa konsisten dan mudah disajikan. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Bubuk Coklat Premium ( Sudah manis, ada gula dan krimer ) Isi : 50 gram ( kemasan kecil ) Tanpa pengawet dan pemanis buatan. Gampang disajikan, 20gram (2 sendok) bubuk dicampur dengan susu UHT/Segar/soy milk secukupnya sesuai selera. Cocok untuk minuman dingin dan hangat, bisa juga sebagai bahan baku untuk kue. Checkout mudah melalui marketplace resmi Homelab.",in stock,new,60000 IDR,https://www.homelab.co.id/shop/pouch50gr-chocolate,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/a92f8748b2ab4a7381c81c596fc56bf0~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&from=520841845&height=1080&idc=my&ps=933b5bde&shcp=2c1af732&shp=1f0b6a75&t=555f072d&width=1080,Homelab
Pouch50gr-PureTaro,Pure Taro / Talas 50 Gram,"Pure Taro / Talas 50 Gram dari Homelab cocok untuk membuat minuman cafe-style dengan rasa konsisten dan mudah disajikan. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Pure Taro Premium (No sugar / tidak manis) Nett Weight : 50 gram Grounded Taro root with hint of vanilla Dapat digunakan untuk bahan pembuatan kue ? Cookies. Cara seduh Pure Taro untuk dijadikan minuman: - Gunakan 10-15gram (2-3 sendok teh). - Larutkan dengan 30ml air panas. - Tuang 120ml susu atau soya - Tamb Checkout mudah melalui marketplace resmi Homelab.",in stock,new,60000 IDR,https://www.homelab.co.id/shop/pouch50gr-puretaro,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/89c682319bb84341a6e85acf5924c514~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&from=520841845&height=1080&idc=my&ps=933b5bde&shcp=2c1af732&shp=1f0b6a75&t=555f072d&width=1080,Homelab
Toples100gr-PureTaro,Pure Taro - 100G / Talas,"Pure Taro - 100G / Talas dari Homelab cocok untuk membuat minuman cafe-style dengan rasa konsisten dan mudah disajikan. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Pure Taro Premium (No sugar / tidak manis) Nett Weight : 100g Grounded Taro root with hint of vanilla Dapat digunakan untuk bahan pembuatan kue ? Cookies. Cara seduh Pure Taro untuk dijadikan minuman: - Gunakan 10-15gram (2-3 sendok teh). - Larutkan dengan 30ml air panas. - Tuang 120ml susu atau soya - Tambah Checkout mudah melalui marketplace resmi Homelab.",in stock,new,80000 IDR,https://www.homelab.co.id/shop/toples100gr-puretaro,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/d20f54aa852a4878bcf46fd345770040~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&from=520841845&height=1080&idc=my&ps=933b5bde&shcp=2c1af732&shp=1f0b6a75&t=555f072d&width=1080,Homelab
