id,title,description,availability,condition,price,link,image_link,brand
shopee-7449193036,Promo Beli Chocolate Powder 2 Bungkus - Gra...,"Promo Beli Chocolate Powder 2 Bungkus - Gra... dari Homelab cocok untuk membuat minuman cafe-style dengan rasa konsisten dan mudah disajikan. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-7449193036,https://cf.shopee.co.id/file/38e4f582443ebbe84302ea2552255392,Homelab
shopee-5149195190,Promo Beli Hojicha Powder 2 Bungkus - Grati...,"Promo Beli Hojicha Powder 2 Bungkus - Grati... dari Homelab cocok untuk membuat minuman cafe-style dengan rasa konsisten dan mudah disajikan. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-5149195190,https://cf.shopee.co.id/file/3b58f13838fd45c773aa106788b5827c,Homelab
shopee-5875411735,Promo Beli Paket 3 Bungkus Premium Powder -...,"Promo Beli Paket 3 Bungkus Premium Powder -... dari Homelab cocok untuk membuat minuman cafe-style dengan rasa konsisten dan mudah disajikan. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-5875411735,https://cf.shopee.co.id/file/e2e7795e2304f807ab03de130cbc7054,Homelab
shopee-17071948021,Sakura Cookie Sandwich - Homelab x Nichi Nichi,"Sakura Cookie Sandwich - Homelab x Nichi Nichi dari Homelab cocok untuk membuat minuman cafe-style dengan rasa konsisten dan mudah disajikan. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-17071948021,https://cf.shopee.co.id/file/211644f7a51db6bf7932ce692a50770e,Homelab
shopee-24201519494,Pure Hojicha / Bubuk Hojicha Murni Asli Tan.....,"Pure Hojicha / Bubuk Hojicha Murni Asli Tan..... dari Homelab cocok untuk menikmati teh Jepang, hojicha, dan minuman hangat yang lebih aromatic. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-24201519494,https://cf.shopee.co.id/file/id-11134207-7r98o-lzkawkzxnap4b9,Homelab
shopee-12657965907,Hampers / Gift Parcel Christmas Natal box i...,"Hampers / Gift Parcel Christmas Natal box i... dari Homelab cocok untuk hadiah, hampers, dan paket siap kirim yang terlihat thoughtful. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-12657965907,https://cf.shopee.co.id/file/id-11134207-8224p-mhu5u9f4f8cm64,Homelab
shopee-8247633431,Hampers / Gift Parcel Christmas Natal Pure...,"Hampers / Gift Parcel Christmas Natal Pure... dari Homelab cocok untuk hadiah, hampers, dan paket siap kirim yang terlihat thoughtful. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-8247633431,https://cf.shopee.co.id/file/id-11134207-8224v-mhu5u9f5y0hsaa,Homelab
shopee-24761177249,Hampers / Gift Parcel CNY Imlek Sarang buru...,"Hampers / Gift Parcel CNY Imlek Sarang buru... dari Homelab cocok untuk hadiah, hampers, dan paket siap kirim yang terlihat thoughtful. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-24761177249,https://cf.shopee.co.id/file/id-11134207-7r991-lr084kt1hmtpdf,Homelab
shopee-25711176584,Hampers / Gift Parcel CNY Imlek Sarang buru...,"Hampers / Gift Parcel CNY Imlek Sarang buru... dari Homelab cocok untuk hadiah, hampers, dan paket siap kirim yang terlihat thoughtful. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-25711176584,https://cf.shopee.co.id/file/id-11134207-7r98q-lr084kt1etot28,Homelab
shopee-25461172289,Hampers / Gift Parcel CNY Imlek Sarang buru...,"Hampers / Gift Parcel CNY Imlek Sarang buru... dari Homelab cocok untuk hadiah, hampers, dan paket siap kirim yang terlihat thoughtful. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-25461172289,https://cf.shopee.co.id/file/id-11134207-7r98w-lr084kt1alzh22,Homelab
shopee-13176380960,Kado / Hadiah VALENTINE - Chocolate & Taro...,"Kado / Hadiah VALENTINE - Chocolate & Taro... dari Homelab cocok untuk hadiah, hampers, dan paket siap kirim yang terlihat thoughtful. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-13176380960,https://cf.shopee.co.id/file/bb7a81286670781505e277d8c0c49349,Homelab
shopee-28718064047,Parsel Hampers Bingkisan Natal / Christmas...,"Parsel Hampers Bingkisan Natal / Christmas... dari Homelab cocok untuk hadiah, hampers, dan paket siap kirim yang terlihat thoughtful. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-28718064047,https://cf.shopee.co.id/file/id-11134207-7rasa-m2s0g9vl0jbp8f,Homelab
shopee-17133030202,Parsel Ramadan / Hampers Lebaran - 3 Bungku...,"Parsel Ramadan / Hampers Lebaran - 3 Bungku... dari Homelab cocok untuk hadiah, hampers, dan paket siap kirim yang terlihat thoughtful. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-17133030202,https://cf.shopee.co.id/file/4a7c0e7bdc6c10c05825d348d0f6338e,Homelab
shopee-16756526845,Parsel Ramadan / Hampers Lebaran - Paket Ka...,"Parsel Ramadan / Hampers Lebaran - Paket Ka... dari Homelab cocok untuk hadiah, hampers, dan paket siap kirim yang terlihat thoughtful. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-16756526845,https://cf.shopee.co.id/file/95d6b3d239107595b8b72d1badc63268,Homelab
shopee-16156528062,Parsel Ramadan / Hampers Lebaran - Paket Mu...,"Parsel Ramadan / Hampers Lebaran - Paket Mu... dari Homelab cocok untuk hadiah, hampers, dan paket siap kirim yang terlihat thoughtful. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-16156528062,https://cf.shopee.co.id/file/b653fb2d26f987ca6017f901fded597f,Homelab
shopee-9747629665,Parsel Ramadan / Hampers Lebaran 5 Bungkus...,"Parsel Ramadan / Hampers Lebaran 5 Bungkus... dari Homelab cocok untuk hadiah, hampers, dan paket siap kirim yang terlihat thoughtful. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-9747629665,https://cf.shopee.co.id/file/ac7b78d298c21a1a641b5fcf50bf8038,Homelab
shopee-2965254887,Black Sesame Powder 100g,"Black Sesame Powder 100g dari Homelab cocok untuk menikmati produk Homelab dengan cara yang lebih praktis. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-2965254887,https://cf.shopee.co.id/file/17d0941b5e5ef107a58ce37f18dde74d,Homelab
shopee-10850396951,Cordless Hand Mixer - Pengocok / Pengaduk T...,"Cordless Hand Mixer - Pengocok / Pengaduk T... dari Homelab cocok untuk menikmati produk Homelab dengan cara yang lebih praktis. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-10850396951,https://cf.shopee.co.id/file/23a2e2dffb213f42085616a1c090d5c2,Homelab
